iso_alpha_3,year,ef_frst_sequestration_young_secondary_kt_co2_ha
MLT,2016,0.004225
MLT,2017,0.004225
MLT,2018,0.004225
MLT,2019,0.004225
MMR,2015,0.00304184531137762
MMR,2016,0.0030417560802634813
MMR,2017,0.0030418433396819534
MMR,2018,0.0030417615680461375
MMR,2019,0.00304168339412377
MNE,2015,0.004224999999999999
MNE,2016,0.004224999999999999
MNE,2017,0.004225
MNE,2018,0.004225
MNE,2019,0.004225
MNG,2015,0.006143862634767815
MNG,2016,0.00614658293496392
MNG,2017,0.006154159285771358
MNG,2018,0.006159892576353674
MNG,2019,0.006161334835078151
MNP,2015,0.005699999999999999
MNP,2016,0.005699999999999999
MNP,2017,0.005699999999999999
MNP,2018,0.005699999999999999
MNP,2019,0.005699999999999999
MOZ,2015,0.003685579750607643
MOZ,2016,0.0036838896706274083
MOZ,2017,0.003686910897571697
MOZ,2018,0.00368570437381511
MOZ,2019,0.0036877454619748447
MRT,2015,0.0028672371922811085
MRT,2016,0.002867237192281108
MRT,2017,0.002867237192281108
MRT,2018,0.0028672371922811085
MRT,2019,0.002867237192281108
MUS,2015,0.0029
MUS,2016,0.0029
MUS,2017,0.0029
MUS,2018,0.0029
MUS,2019,0.0029
MWI,2015,0.00318397863221909
MWI,2016,0.0031845808610818536
MWI,2017,0.0031829576449615266
MWI,2018,0.003183565489085279
MWI,2019,0.0031854003448646448
MYS,2015,0.0033816726560382125
MYS,2016,0.0033816318192146774
MYS,2017,0.003381666961137712
MYS,2018,0.0033816755274613244
MYS,2019,0.0033817489680276454
NAM,2015,0.003794440058781199
NAM,2016,0.0037956110567014764
NAM,2017,0.0037956741941753886
NAM,2018,0.003795674374455461
NAM,2019,0.0037955484245883815
NCL,2015,0.0057
NCL,2016,0.0057
NCL,2017,0.0057
NCL,2018,0.005699999999999999
NCL,2019,0.005699999999999999
NER,2015,0.002991645341197307
NER,2016,0.0029916453411973068
NER,2017,0.0029916453411973068
NER,2018,0.0029916453411973063
NER,2019,0.002991645341197306
NGA,2015,0.007149545339516313
NGA,2016,0.00714972146037627
NGA,2017,0.007151532824936637
NGA,2018,0.007154574081957569
NGA,2019,0.0071549500845273
NIC,2015,0.005836712531819096
NIC,2016,0.005836506109315239
NIC,2017,0.005836157154922025
NIC,2018,0.0058358120657682035
NIC,2019,0.005835846350007224
NLD,2015,0.007327383935829499
NLD,2016,0.007327383935829498
NLD,2017,0.007327383935829498
NLD,2018,0.007327383935829499
NLD,2019,0.007327383935829498
NOR,2015,0.002450046428018115
NOR,2016,0.0024515703085763382
NOR,2017,0.002451164817507404
NOR,2018,0.0024507186798123407
NOR,2019,0.002450713154792981
NPL,2015,0.002858952228478514
NPL,2016,0.0028591454797756715
NPL,2017,0.002859338142969622
NPL,2018,0.002859338142969622
NPL,2019,0.0028603583347705155
NRU,2015,0.005699999999999999
NRU,2016,0.005699999999999999
NRU,2017,0.005699999999999999
NRU,2018,0.005699999999999999
NRU,2019,0.005699999999999999
NZL,2015,0.002844080983444934
NZL,2016,0.002845543427964371
NZL,2017,0.002848290379178528
NZL,2018,0.002845516323907131
NZL,2019,0.002844683141534077
OMN,2015,0.0028693343845439213
OMN,2016,0.0028693343845439213
OMN,2017,0.0028693343845439213
OMN,2018,0.0028693343845439213
OMN,2019,0.0028693343845439213
PAK,2015,0.003323255858038449
PAK,2016,0.0033219684739405142
PAK,2017,0.0033217881317551133
PAK,2018,0.003322012575480342
PAK,2019,0.003321210722164681
PAN,2015,0.005605877078402518
PAN,2016,0.0056064649569107046
PAN,2017,0.005607604839912101
PAN,2018,0.005609131011994253
PAN,2019,0.005608643452568444
PER,2015,0.005457529449724961
PER,2016,0.0054568953797571144
PER,2017,0.005456112700967941
PER,2018,0.005455678178416225
PER,2019,0.005454958647362374
PHL,2015,0.003302265160374335
PHL,2016,0.0033023146583442574
PHL,2017,0.003302360699534178
PHL,2018,0.0033022317119591597
PHL,2019,0.0033022417720383057
PLW,2015,0.005699999999999999
PLW,2016,0.005699999999999999
PLW,2017,0.005699999999999999
PLW,2018,0.005699999999999999
PLW,2019,0.005699999999999999
PNG,2015,0.0052485046081662936
PNG,2016,0.0052467935660342035
PNG,2017,0.005245341916125979
PNG,2018,0.005243714715472764
PNG,2019,0.005244077369184443
POL,2015,0.007327383935829499
POL,2016,0.007327383935829498
POL,2017,0.007327383935829497
POL,2018,0.007327383935829497
POL,2019,0.007327383935829497
PRI,2015,0.005846345596015291
PRI,2016,0.005846562318610301
PRI,2017,0.005846769608351044
PRI,2018,0.005847452425784034
PRI,2019,0.005847576525488353
PRK,2015,
PRK,2016,
PRK,2017,
PRK,2018,
PRK,2019,
PRT,2015,0.004691910684146865
PRT,2016,0.0046919106841468656
PRT,2017,0.0046919106841468656
PRT,2018,0.0046919106841468656
PRT,2019,0.0046919106841468656
PRY,2015,0.00475344638423282
PRY,2016,0.004759427884778535
PRY,2017,0.004762883902782297
PRY,2018,0.004765154250080218
PRY,2019,0.004770833025725127
PYF,2015,0.005699999999999999
PYF,2016,0.005699999999999999
PYF,2017,0.005699999999999999
PYF,2018,0.005699999999999999
PYF,2019,0.005699999999999999
QAT,2015,0.0019114914615207385
QAT,2016,0.0019114914615207385
QAT,2017,0.0019114914615207385
QAT,2018,0.0019114914615207385
QAT,2019,0.0019114914615207385
ROU,2015,0.011150366858870971
ROU,2016,0.011150366858870974
ROU,2017,0.011150366858870973
ROU,2018,0.011150366858870974
ROU,2019,0.011150366858870973
RUS,2015,0.002176602560761469
RUS,2016,0.0021742320374880816
RUS,2017,0.0021736755317308945
RUS,2018,0.002173988674269369
RUS,2019,0.0021743570630549714
RWA,2015,0.005499999999999999
RWA,2016,0.0055
RWA,2017,0.0055
RWA,2018,0.0055
RWA,2019,0.005500000000000001
SAU,2015,0.002898126903842318
SAU,2016,0.0028981269038423174
SAU,2017,0.0028981269038423183
SAU,2018,0.002898126903842318
SAU,2019,0.002898126903842318
SDN,2015,0.0034377881308486568
SDN,2016,0.003438121672078297
SDN,2017,0.0034401019771277764
SDN,2018,0.0034417757571132603
SDN,2019,0.0034444555675114475
SEN,2015,0.0031182305405784436
SEN,2016,0.0031209590999546314
SEN,2017,0.0031229690459050443
SEN,2018,0.0031250109578323374
SEN,2019,0.0031250109578323374
SGP,2015,0.0034
SGP,2016,0.0034
SGP,2017,0.0034
SGP,2018,0.0034
SGP,2019,0.0034
SLB,2015,0.005699999999999998
SLB,2016,0.005699999999999999
SLB,2017,0.005699999999999999
SLB,2018,0.0057
SLB,2019,0.0057
SLE,2015,0.005999985538349541
SLE,2016,0.005997610803221462
SLE,2017,0.005995463052277357
SLE,2018,0.00599392525377339
SLE,2019,0.005993155690218478
SLV,2015,0.005129309195491271
SLV,2016,0.0051284669558626095
SLV,2017,0.0051284669558626095
SLV,2018,0.0051284669558626095
SLV,2019,0.0051284669558626095
SMR,2015,0.004225
SMR,2016,0.004225
SMR,2017,0.004225
SMR,2018,0.004225
SMR,2019,0.004225
SOM,2015,0.0028687823456445454
SOM,2016,0.0028687823456445454
SOM,2017,0.0028687875674468753
SOM,2018,0.0028687875610020302
SOM,2019,0.0028688087674790886
SRB,2015,
SRB,2016,
SRB,2017,
SRB,2018,
SRB,2019,
SSD,2015,0.003922684193547669
SSD,2016,0.003922933072809145
SSD,2017,0.003922938514618686
SSD,2018,0.00392282789417715
SSD,2019,0.003922960385742557
STP,2015,0.0076
STP,2016,0.0076
STP,2017,0.0076
STP,2018,0.0076
STP,2019,0.0076
SUR,2015,0.005455922291627248
SUR,2016,0.005457978678671017
SUR,2017,0.005458046739103034
SUR,2018,0.005458526408781682
SUR,2019,0.0054582867240388355
SVK,2015,
SVK,2016,
SVK,2017,
SVK,2018,
SVK,2019,
SVN,2015,0.004225
SVN,2016,0.004225
SVN,2017,0.004225
SVN,2018,0.004225
SVN,2019,0.004225
SWE,2015,0.0014306274025071277
SWE,2016,0.0014307711613096314
